time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1977-03-26T22:23:26.500Z,-20.335,-66.364,207,4.8,mb,,,,,us,usp0000n4x,2014-11-06T23:21:40.509Z,"50 km ENE of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1977-03-29T02:17:17.500Z,-18.416,-67.457,287,4.5,mb,,,,,us,usp0000n5w,2014-11-06T23:21:40.536Z,"51 km W of Poopó, Bolivia",earthquake,,,,,reviewed,us,us
1977-04-12T19:32:31.600Z,-21.281,-67.901,181,4.3,mb,,,,,us,usp0000nch,2014-11-06T23:21:40.842Z,"144 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1977-06-18T16:49:40.900Z,-20.892,-68.451,131,5.4,mb,,,,,us,usp0000pc1,2022-04-27T16:23:06.257Z,"171 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-06-20T22:52:22.700Z,-20.124,-68.439,114,4.6,mb,,,,,us,usp0000pd4,2014-11-06T23:21:42.623Z,"158 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-10-29T10:40:57.800Z,-22.006,-65.93,263,4.6,mb,,,,,us,usp0000r9f,2014-11-06T23:21:44.989Z,"35 km WNW of Villazón, Bolivia",earthquake,,,,,reviewed,us,us
1977-11-08T13:25:55.400Z,-21.116,-67.173,152,4.8,mb,,,,,us,usp0000re2,2014-11-06T23:21:45.131Z,"81 km SSW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1977-11-24T17:57:01.200Z,-20.948,-67.493,174,5.1,mb,,,,,us,usp0000rr0,2014-11-06T23:21:45.446Z,"88 km SW of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1978-01-22T10:21:51.600Z,-21.484,-66.818,215,4.6,mb,,,,,us,usp0000sn8,2014-11-06T23:21:46.671Z,"86 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1978-02-11T14:43:50.700Z,-21.485,-66.708,200,4.9,mb,,,,,us,usp0000sxq,2014-11-06T23:21:46.982Z,"79 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1978-04-03T08:39:32.800Z,-18.328,-69.146,147,4.6,mb,,,,,us,usp0000twf,2014-11-06T23:21:48.288Z,"91 km SW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1978-04-23T17:50:06.900Z,-20.826,-68.608,110,5.2,mb,,,,,us,usp0000u7y,2014-11-06T23:21:48.693Z,Chile-Bolivia border region,earthquake,,,,,reviewed,us,us
1978-05-18T04:14:18.800Z,-14.073,-66.178,33,4.9,mb,,,,,us,usp0000ukn,2020-04-16T20:32:05.259Z,"76 km E of Santa Rosa, Bolivia",earthquake,,,,,reviewed,us,us
1978-05-18T13:50:47.600Z,-20.069,-67.967,189,4.4,mb,,,,,us,usp0000ukw,2014-11-06T23:21:49.191Z,"111 km WNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1978-06-26T16:15:11.300Z,-21.61,-66.837,221,4.9,mb,,,,,us,usp0000van,2014-11-06T23:21:50.075Z,"98 km SW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1978-07-17T05:07:14.600Z,-20.534,-66.583,236,4.8,mb,,,,,us,usp0000vm1,2014-11-06T23:21:50.386Z,"26 km ESE of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1978-07-29T12:52:11.500Z,-20.115,-68.522,81,5,mb,,,,,us,usp0000vun,2014-11-06T23:21:50.909Z,"167 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1978-09-25T08:56:42.400Z,-19.541,-68.482,90,4.9,mb,,,,,us,usp0000wqm,2014-11-06T23:21:52.531Z,"182 km WNW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1978-10-27T10:06:46.100Z,-21.906,-65.792,280,5.6,mb,,,,,us,usp0000x57,2022-04-27T15:24:34.044Z,"28 km NW of Villazón, Bolivia",earthquake,,,,,reviewed,us,us
1978-11-11T06:40:46.400Z,-18.854,-67.489,252,4.8,mb,,,,,us,usp0000xd3,2014-11-06T23:21:53.677Z,"75 km W of Challapata, Bolivia",earthquake,,,,,reviewed,us,us
